TimestampInUtc,House1,House2,House3,Sum
2021-12-31 23:00,4.687988636360387,13.361136363637344,3.2101371428580023,21.259262142855732
2021-12-31 23:15,5.775093023257796,10.841218390807626,3.1856914285745006,19.802002842639922
2021-12-31 23:30,5.579068181818002,4.176179775284254,3.106543352601875,12.861791309704131
2021-12-31 23:45,6.073583815028542,4.377590909090941,11.027537572255824,21.478712296375306
2022-01-01 00:00,10.755348314603909,6.999269662919687,9.518171428571804,27.2727894060954
2022-01-01 00:15,13.115378531074384,12.180045454544596,2.9690282485898933,28.264452234208875
2022-01-01 00:30,14.74491620111803,7.3771508379868465,3.749228070177196,25.871295109282073
2022-01-01 00:45,9.42813559321803,4.15426136363385,15.078887640447649,28.661284597299527
2022-01-01 01:00,6.224277456647542,4.38996571428288,15.5098971428597,26.12414031379012
2022-01-01 01:15,6.827583815029357,10.67728000000352,15.79140229884797,33.29626611388085
2022-01-01 01:30,5.675535911599582,16.097446327687067,16.09252325581474,37.86550549510139
2022-01-01 01:45,7.77026436781307,17.229943502825336,16.249485714288312,41.24969358492672
2022-01-01 02:00,15.438090395480684,13.742564971747925,16.595897142855392,45.776552510084
2022-01-01 02:15,15.902820809249532,10.547164705880276,17.639629139070166,44.08961465419998
2022-01-01 02:30,12.808747126437083,4.168852272727236,17.0662976190506,34.04389701821492
2022-01-01 02:45,5.064644067795598,3.980346368713072,17.199965714287828,26.244956150796497
2022-01-01 03:00,13.19558139534638,6.777625000002445,4.769919075144571,24.743125470493396
2022-01-01 03:15,16.736056497175014,11.866158192089642,2.6770112359517952,31.27922592521645
2022-01-01 03:30,16.512359550564724,6.335011494251376,2.775017142856086,25.622388187672186
2022-01-01 03:45,16.675231638415426,4.18544186046347,2.678647398846806,23.539320897725702
2022-01-01 04:00,17.563056818180485,7.587632183909591,2.617523255816195,27.76821225790627
2022-01-01 04:15,17.904491620109184,11.923034090912552,2.6955930232579703,32.523118734279706
2022-01-01 04:30,9.854545454545589,10.410761363636992,2.6508000000030734,22.916106818185654
2022-01-01 04:45,3.0636551724164747,4.15894736842165,2.6581965317891445,9.88079907262727
2022-01-01 05:00,3.70563953488454,9.110248587567185,2.8446818181837443,15.660569940635469
2022-01-01 05:15,4.024183908048144,16.740157303371234,3.0367415730361245,23.801082784455502
2022-01-01 05:30,4.044058479528758,17.32902857143199,2.7406705202301964,24.113757571190945
2022-01-01 05:45,5.104126436781371,12.027807909602416,7.875688888889272,25.00762323527306
2022-01-01 06:00,4.865785310736101,12.395295454545703,8.510905027935223,25.771985793217027
2022-01-01 06:15,4.064965517238306,12.431378531073278,2.7810514285738464,19.27739547688543
2022-01-01 06:30,10.381280000001423,5.009197740109812,3.00204624277103,18.392523982882267
2022-01-01 06:45,11.747220338984334,6.594217142854177,2.952279329605517,21.29371681144403
2022-01-01 07:00,5.50772413793311,14.810068181817767,3.3142613636373426,23.63205368338822
2022-01-01 07:15,5.660659090906847,10.33426136363414,11.062727272728807,27.057647727269796
2022-01-01 07:30,4.446112994352006,4.885966292131343,15.38663333333534,24.71871261981869
2022-01-01 07:45,5.2781016949156765,7.9227150837978115,14.774659217873705,27.975475996587193
2022-01-01 08:00,8.708310344823985,12.289252873561054,14.910826815641483,35.908390034026525
2022-01-01 08:15,13.668788571427283,7.233474285712873,15.008784090910922,35.91104694805108
2022-01-01 08:30,13.53373714285408,5.602238636362017,15.381363128493833,34.51733890770993
2022-01-01 08:45,9.329017543859663,16.598121546958282,15.392158192087663,41.31929728290561
2022-01-01 09:00,5.603988700568152,18.18271856287174,15.588965517243196,39.37567278068309
2022-01-01 09:15,5.532709302322473,14.1611299435026,15.728473988441692,35.42231323426677
2022-01-01 09:30,5.347931428572338,15.123688888888864,16.00813793103589,36.47975824849709
2022-01-01 09:45,7.526897727271717,6.243807909602765,16.283426900583436,30.054132537457917
2022-01-01 10:00,14.21285875706235,5.630248587571259,17.03366037736123,36.87676772199484
2022-01-01 10:15,14.99002312139055,14.933553072623909,19.53502439024305,49.45860058425751
2022-01-01 10:30,16.856329545451445,12.444700000000012,17.463268292682187,46.76429783813364
2022-01-01 10:45,17.519047058820433,7.64111111110833,3.284693641617196,28.44485181154596
2022-01-01 11:00,17.75446242774342,12.115096045199609,4.328924855493824,34.19848332843685
2022-01-01 11:15,19.348259887003223,20.47442857142596,4.500779661015258,44.32346811944444
2022-01-01 11:30,18.118407185625983,20.03809876543528,6.010681818181183,44.167187769242446
2022-01-01 11:45,4.918573033704888,14.616199999996752,3.504949720670993,23.039722754372633
2022-01-01 12:00,4.213039548019879,13.940316384178004,5.658847457627417,23.8122033898253
2022-01-01 12:15,3.6120000000009895,9.294536312845594,4.605702857144934,17.512239169991517
2022-01-01 12:30,3.7944772727278178,5.278114285712945,3.2162598870054357,12.288851445446198
2022-01-01 12:45,5.122235955059296,13.197409090906149,3.3382171428602305,21.657862188825675
2022-01-01 13:00,4.306772727271891,6.54055367231922,5.931483146065148,16.77880954565626
2022-01-01 13:15,6.2877954545474495,5.146662921346433,11.48229050279042,22.916748878684302
2022-01-01 13:30,5.708936416187498,9.280677966104122,15.491443181817884,30.481057564109506
2022-01-01 13:45,6.044146892658318,17.40671084337373,15.781235955058946,39.232093691090995
2022-01-01 14:00,12.170644067795363,19.52688636363746,16.68674860335159,48.38427903478441
2022-01-01 14:15,16.115784090907255,15.77475862068968,16.151079545452376,48.04162225704931
2022-01-01 14:30,6.9853888888901565,13.663651685390503,16.687468208096107,37.33650878237677
2022-01-01 14:45,5.030674157300382,7.460384180791152,16.858067796609248,29.349126134700782
2022-01-01 15:00,5.370528089886648,6.936111731840356,17.226954545454646,29.53359436718165
2022-01-01 15:15,7.426067796608549,5.972308571428584,16.543322033896402,29.941698401933536
2022-01-01 15:30,7.993575418993714,8.607175141245534,17.370469273744675,33.97121983398392
